;Name Country;;;;;;;
Year;Africa Eastern and Southern;Australia;Canada;Germany;India;Indonesia;Malaysia;United State
1960;19313106302;6592693841;40461721693;;37029883875;;1916241997;5,433E+11
1961;19723488057;7311749633;40934952064;;39232435784;;1901868548;5,633E+11
1962;21493920015;7756110210;42227447632;;42161481859;;2001502679;6,051E+11
1963;25733212134;8374175258;45029988561;;48421923459;;2510126748;6,386E+11
1964;23527443251;9169983886;49377522897;;56480289941;;2674441396;6,858E+11
1965;26810567154;9994070616;54515179581;;59554854575;;2956356984;7,437E+11
1966;29152157362;10887682273;61088384037;;45865462034;;3143538482;8,15E+11
1967;30173172663;11579431669;65668655501;;50134942203;5667756645;3188945512;8,617E+11
1968;32877055829;12440625313;71829810520;;53085455871;7076465295;3330393310;9,425E+11
1969;37744346869;13582798556;79148411662;;58447995017;8337423313;3664575983;1,0199E+12
1970;40315782854;15373005557;87896095320;2,15838E+11;62422483055;9150684932;3864170913;1,0733E+12
1971;44476662703;17858486067;99271961775;2,49985E+11;67350988021;9333536360;4244340334;1,16485E+12
1972;48301485014;22059612477;1,13083E+11;2,99802E+11;71463193830;10997590361;5043268549;1,27911E+12
1973;62983498805;29515467707;1,31322E+11;3,98374E+11;85515269586;16273253012;7662996767;1,42538E+12
1974;78250886611;35189299912;1,60409E+11;4,45303E+11;99525899116;25802409639;9496074114;1,54524E+12
1975;83435565923;40059206763;1,73834E+11;4,90637E+11;98472796457;30463855422;9298800799;1,6849E+12
1976;83210426602;42959976222;2,06576E+11;5,19754E+11;1,02717E+11;37269156627;11050125905;1,87341E+12
1977;94988948105;51545758888;2,11612E+11;6,00498E+11;1,21487E+11;45808915663;13139397879;2,08183E+12
1978;1,06346E+11;62052259073;2,18633E+11;7,4047E+11;1,373E+11;51455719100;16358376511;2,3516E+12
1979;1,24498E+11;73937296963;2,43072E+11;8,81345E+11;1,52992E+11;51400186379;21213672089;2,62733E+12
1980;1,56513E+11;82058912997;2,73854E+11;9,50291E+11;1,86325E+11;72482337370;24488033442;2,85731E+12
1981;1,60378E+11;71034228443;3,06215E+11;8,00472E+11;1,93491E+11;85518233451;25004557094;3,20704E+12
1982;1,54669E+11;71275287570;3,13507E+11;7,76576E+11;2,00715E+11;90158449307;26804401816;3,34379E+12
1983;1,59758E+11;72121016547;3,40548E+11;7,70684E+11;2,18262E+11;81052283405;30346788438;3,63404E+12
1984;1,46022E+11;67985344887;3,55373E+11;7,25111E+11;2,12158E+11;84853699994;33943505718;4,03761E+12
1985;1,3044E+11;69386774408;3,64756E+11;7,32535E+11;2,32512E+11;85289491750;31200161095;4,33898E+12
1986;1,47025E+11;99036164939;3,77438E+11;1,04626E+12;2,48986E+11;79954072570;27734562640;4,57963E+12
1987;1,79739E+11;1,24168E+11;4,31317E+11;1,29818E+12;2,79034E+11;75929617577;32181695507;4,85522E+12
1988;1,89003E+11;1,33339E+11;5,07354E+11;1,40123E+12;2,96589E+11;84300174477;35271880251;5,23644E+12
1989;1,94543E+11;1,33106E+11;5,65056E+11;1,39897E+12;2,96042E+11;94451427898;38848567631;5,64158E+12
1990;2,12336E+11;1,66463E+11;5,9393E+11;1,77167E+12;3,20979E+11;1,06141E+11;44024178343;5,96314E+12
1991;2,20764E+11;1,73794E+11;6,10328E+11;1,86895E+12;2,70105E+11;1,16622E+11;49143148094;6,15813E+12
1992;2,20219E+11;1,95078E+11;5,92388E+11;2,13157E+12;2,88208E+11;1,28027E+11;59167550163;6,52033E+12
1993;2,34035E+11;1,9038E+11;5,77171E+11;2,07132E+12;2,79296E+11;1,58007E+11;66894837030;6,85856E+12
1994;2,39088E+11;2,03535E+11;5,78139E+11;2,20507E+12;3,27276E+11;1,76892E+11;74478356958;7,28724E+12
1995;2,69689E+11;2,41038E+11;6,04032E+11;2,58579E+12;3,60282E+11;2,02132E+11;88705342903;7,63975E+12
1996;2,6844E+11;2,37251E+11;6,28546E+11;2,49724E+12;3,92897E+11;2,2737E+11;1,00855E+11;8,07312E+12
1997;2,82214E+11;2,1279E+11;6,54987E+11;2,21199E+12;4,15868E+11;2,15749E+11;1,00005E+11;8,57755E+12
1998;2,65838E+11;2,1826E+11;6,34E+11;2,23899E+12;4,21351E+11;95445547873;72167498981;9,06282E+12
1999;2,62197E+11;2,17186E+11;6,78412E+11;2,1942E+12;4,5882E+11;1,40001E+11;79148421053;9,63066E+12
2000;2,83953E+11;1,968E+11;7,44773E+11;1,94315E+12;4,68395E+11;1,65021E+11;93789736842;1,02523E+13
2001;2,58843E+11;1,97338E+11;7,38982E+11;1,94411E+12;4,85441E+11;1,60447E+11;92783947368;1,05818E+13
2002;2,64895E+11;2,13378E+11;7,60649E+11;2,06862E+12;5,14938E+11;1,95661E+11;1,00846E+11;1,09364E+13
2003;3,52692E+11;2,61696E+11;8,95541E+11;2,49613E+12;6,07699E+11;2,34772E+11;1,10202E+11;1,14582E+13
2004;4,38876E+11;3,00904E+11;1,02669E+12;2,80919E+12;7,09149E+11;2,56837E+11;1,24749E+11;1,22137E+13
